age,ed,employ,address,income,debtinc,creddebt,othdebt,default
28,1,3,4,45,20.9,4.22219,5.18281,0
35,2,9,13,47,7.1,1.245022,2.091978,0
35,4,12,14,69,5.7,1.286498,2.646502,0
53,2,1,1,47,10.5,3.058616,1.876384,1
39,1,3,3,32,10.3,1.099708,2.196292,0
54,1,23,33,59,7.2,1.457142,2.790858,0
28,3,4,5,36,0.9,0.1287,0.1953,0
42,2,2,1,61,3.2,1.101763,0.850237,0
36,2,3,3,36,19.9,4.994631,2.169369,0
29,1,0,0,45,3.0,0.588546,0.761454,0
29,3,3,4,49,17.8,3.237383,5.484617,1
48,2,8,5,46,10.1,2.301436,2.344564,0
25,1,2,3,32,7.0,1.393552,0.846448,0
24,2,4,3,51,6.7,2.231205,1.185795,0
42,2,9,11,65,21.4,9.088522,4.821478,1
22,1,1,1,36,4.5,0.712895,0.907105,0
35,1,4,5,32,1.2,0.147084,0.236916,0
48,2,12,17,72,12.4,4.926812,4.001188,0
30,1,6,7,34,7.7,1.778281,0.839719,1
22,1,2,2,24,15.2,2.225358,1.422642,0
26,1,3,3,32,1.6,0.264638,0.247362,0
36,1,10,6,36,6.7,1.441613,0.970387,0
27,1,1,1,30,9.1,1.570737,1.159263,0
41,2,5,4,55,5.7,1.693156,1.441844,0
36,2,11,16,59,11.0,4.079292,2.410708,0
30,2,1,1,38,6.6,1.078901,1.429099,0
38,2,6,7,42,8.5,1.637031,1.932969,0
27,4,3,3,44,4.5,1.370015,0.609985,0
23,4,2,2,44,4.7,0.830269,1.237731,1
26,3,5,5,34,20.4,2.183344,4.752656,1
28,2,2,2,39,3.1,0.363529,0.845471,0
29,1,5,6,43,19.8,2.570044,5.943956,1
41,1,15,22,50,23.1,4.937173,6.612827,0
31,4,3,4,65,4.9,1.236041,1.948959,0
29,1,1,1,42,12.5,2.048123,3.201877,0
48,1,0,0,53,4.1,0.859711,1.313289,0
36,4,6,3,75,4.4,2.072401,1.227599,0
32,2,8,8,48,4.1,0.919864,1.048136,0
36,1,12,16,52,7.7,2.446967,1.557033,0
37,1,3,2,44,5.0,0.989308,1.210692,0
29,2,4,6,49,10.0,2.746017,2.153983,0
28,3,7,7,50,17.3,2.707812,5.942188,0
42,4,5,3,75,18.7,6.270357,7.754643,1
34,1,2,3,41,6.6,1.381068,1.324932,0
48,1,19,15,39,20.9,4.02613,4.12487,0
23,1,3,2,43,5.4,1.109047,1.212953,0
29,1,3,3,42,9.6,2.142874,1.889126,0
25,1,1,1,35,23.6,5.688217,2.571783,0
28,1,1,1,45,4.3,0.858701,1.076299,0
29,1,4,2,28,21.3,4.161102,1.802898,1
48,1,1,1,58,8.0,1.496602,3.143398,0
51,1,15,9,64,3.0,0.958073,0.961927,0
50,2,18,27,67,10.8,2.715071,4.520929,0
45,1,1,1,38,10.8,1.907765,2.196235,0
25,1,1,1,27,4.1,0.750653,0.356347,0
35,1,6,9,40,18.2,3.880576,3.399424,0
44,1,18,19,35,4.4,0.655464,0.884536,0
27,1,4,5,44,5.9,1.170792,1.425208,0
37,2,9,7,60,4.8,1.502254,1.377746,0
35,2,6,7,48,1.7,0.441493,0.374507,0
40,2,3,2,42,18.7,3.627953,4.226047,1
39,4,13,9,62,4.7,0.891766,2.022234,0
29,3,1,1,45,8.4,1.646405,2.133595,0
31,1,6,7,47,9.2,1.521044,2.802956,0
48,2,5,3,53,10.0,3.637407,1.662593,0
35,1,1,1,51,4.5,0.79429,1.50071,0
47,4,14,12,61,14.7,6.101092,2.865908,1
49,1,4,4,59,3.7,1.059178,1.123822,0
44,1,3,3,38,8.4,1.384795,1.807205,0
39,1,2,1,34,1.7,0.231532,0.346468,0
40,1,13,14,34,18.1,2.262284,3.891716,0
40,1,13,13,43,4.4,1.118028,0.773972,0
53,1,5,7,56,23.8,9.307162,4.020838,0
33,3,7,5,42,6.5,1.46674,1.26326,0
40,1,2,3,52,8.4,2.735502,1.632498,0
25,1,1,1,37,13.0,1.92418,2.88582,0
29,1,1,1,27,1.7,0.225244,0.233756,0
40,1,15,20,37,19.4,2.496426,4.681574,1
39,1,3,3,42,5.2,1.309598,0.874402,0
45,4,1,1,49,2.7,0.543539,0.779461,0
25,2,4,4,48,21.0,4.065993,6.014007,1
37,1,11,9,47,3.4,0.598969,0.999031,0
38,1,12,12,32,7.2,0.788152,1.515848,0
23,2,2,2,49,4.7,1.331907,0.971093,1
29,1,2,3,41,2.7,0.684489,0.422511,0
30,2,3,4,51,25.3,5.80143,7.10157,0
30,1,3,2,44,9.3,2.589845,1.502155,0
23,1,2,2,37,7.5,1.198415,1.576585,1
29,1,5,4,37,12.6,2.822989,1.839011,0
39,1,2,3,46,16.5,3.158235,4.431765,1
48,2,11,13,65,9.3,3.076263,2.968737,1
51,3,19,10,48,3.8,0.724507,1.099493,1
24,1,4,2,44,13.0,3.650028,2.069972,0
28,1,7,4,46,3.6,1.066603,0.589397,0
47,1,14,10,53,12.7,3.134369,3.596631,0
28,1,2,2,27,5.8,0.889592,0.676408,0
23,1,0,0,42,8.7,1.689953,1.964047,1
44,2,2,2,55,7.9,1.726559,2.618441,0
34,1,2,2,49,5.9,1.961369,0.929631,1
50,1,15,20,43,15.4,2.017797,4.604203,0
35,1,3,4,35,12.9,1.562476,2.952524,0
35,3,8,9,40,6.8,1.3914,1.3286,1
31,2,4,5,54,6.0,2.049474,1.190526,0
